最满意的一点,最不满意的一点,空间,动力,操控,电耗 ,舒适性,外观,内饰,Column11,Column12
加速很实用，刹车有信心。外形真的好看。,后排空间的确有些小，续航里程的确不如长续香，何况降价让老韭菜真的心痛。,空间182身高，平时夫妻两个人。后排有时候带人有些局促,动力电车相比油车就是无敌，5.6够用了。,操控总体不错，掉头时候稍费劲。,电耗电耗稍高，充电较频繁,舒适性还行吧，这个价位里不错了。,外观无敌好吧，各个颜色都漂亮。,内饰不错，我喜欢的简约风,性价比本来可以五星，可惜他比我买时更实惠了。所以五星交给24万买的车友打。,为什么最终选择这款车外观党被征服，红色真的帅。岛内通勤实用，长途我不跑所以续航不算头疼问题。
外形最满意.动力还可以..内饰也比较喜欢的，,最不满意的就是购车体验了.自己从各方渠道知道会降价、定车的时候咨询官网、特斯拉高管以及销售，她们都会告诉你不会降价、那是谣言、让咱们相信特斯拉官方，最后选择相信她们不会降价！然后结果降价了！我对降价是支持和认可的！但是！一派胡言的销售和官方让降价实实在在的打了她们自己的脸！我百思不得其解这是为什么？特斯拉公司内部管理为什么如此混乱、欺骗消费者、诱导消费者，,空间空间：空间完全够用、前排后排都挺宽敞的！1.8米一下完全很舒适,动力动力：动力很满意！加速起步都很棒！开起来很轻盈！,操控操控：操控非常棒，地盘里是较重都电池！重心底！操控很棒。,电耗电耗：电耗也很满意！几...,,,,,
性能好，配置高，不限行，成本低,车内噪音，有一定的旅程焦虑,空间空间：储物空间还不错，后排空间一般般,动力动力：电车动力是特点，无延迟加速感极强,操控操控：方向盘小而且只需要打一圈，车身也灵巧。操控不错,电耗电耗：与官方说的相同，基本在370上下,舒适性舒适性：座椅和配置都不错，高速风燥明显,外观外观：设计年轻有科技感，很有动感,内饰内饰：做工用料符合20多万的水平，亮点还是那块15寸大屏,性价比性价比：既然电车都拿特斯拉对比，那么性价比不用多说了,为什么最终选择这款车在奥迪a4l和猫3种选择，电车的优势和配置让我做出了选择
8月4日因为台风，家里报废了一台接送小孩的车，所以重新购买了一台毛豆3。最满意的是外观和操控，操控不开动力回收标准模式的话，开起来还是很棒的,最不满意的就是续航问题，在温州体验中心提车的时候，车辆显示总里程5公里。然后开回乐清。这个车工信部里程有400多公里，想着怎么着也能开个300公里左右吧，然鹅落差还是挺大的。电池不能充满只能充百分之90，行驶不能让电量低于百分之十，不然对电池应该有影响。以下是我三次自己记录的数据特斯拉记录第一次76%电181公里 总186第二次77%电159公里 总345第三次73%电209公里总554第一次是开回家上了高速，第二次是贴了半天的膜，第三次是正常使用的数据。目前车子662公里总里程，剩余电量百分之56...,,,,,,,,,
车子好开，省电，科技感好，开习惯了还可以。,门不好开，开门不方便，现在自己改装了门。,空间空间：空间可以够用够用够用够用够用够用。就是头部有点窄☆ 空间设计亮点：空间还可以够用像跑车一样，非常时尚。!!后备厢容积：够用可以。够用，前后后备箱都很宽裕。!’家人乘坐评价：开门不好开，不方便。很多人开门都不会开。门不方便，很多人都不：开门很多人都不会。很多人开门都不会开。!?乘坐空间：空间还可以够用，开门不好开，乘坐空间头部有点窄。,动力动力：动力很好像V6的发动机一样。很快，速度很快。,操控操控：操控还行，比其他的车操控都要好。!“?!,电耗电耗：看个人开车习惯开的快，耗电开的慢省...,,,,,
超车随心所欲，音效很棒毕竟16个音响包括一个低音炮，续航充满510，日常选择480左右，代步够用，外观有回头率。,储物空间真是不敢恭维，用料也是不敢恭维，后备箱的盖子感觉是木头的，邦邦硬,空间空间：相对于车身尺寸来讲乘坐空间出奇的大，但储物空间让人不敢恭维,动力动力：怎么踩怎么有，可谓是随心所欲，120以后超车动力澎湃,操控操控：日常开车比较柔，也不飙车，精准度很好，方向貌似一圈满。,电耗电耗：由于充电有便利条件不花钱，所以没关注过耗电的情况，但基本表显公里数和实际跑出公里数吻合，希望电池能够经久不衰，将来换电池价格便宜些。,舒适性舒适性：座椅很软，包裹性也很好。孩子说比较里的胖白舒...,,,,
车子好看，加速快，操控好，充电省钱。总之香！,没有！暂时没发现，硬要说就是建议车厂原厂电尾门。,空间空间：前排舒服，也够大，后排稍微有点小，腿部会不舒服,动力动力：起步快，后期加速更快，电车油门直接反馈太爽了！,操控操控：特斯拉的设计和科技让这个车操控性可以说同等级里可以数一数二了！,电耗电耗：电耗根据个人开车习惯，可以暴力但费电，可以流畅但是省电。,舒适性舒适性：胎噪有一点，过减速带没问题很好，平时开非常流畅,外观外观：外观酷似保时捷，每次路过，路人都会投来羡慕的眼光，总之回头率很高！,内饰内饰：内饰分格简约，简单，没有仪表盘，很具备未来感，很符合我的审美，缺失了部分豪华感，但...,,
Model3的外观是我最最喜欢的地方之一，其次车辆加速性能都是最好的，另外电池衰减容量也是最好的，可以使用好多年品质有保证，市区代步首选品牌吧！车子的整体设计理念都是比较前卫和时尚的，油车的很多车主都选择了这款车包括我自己也是其中之一，我自己家里也有几台烧油的轿车和SUV，操控简单，噪音只有风噪和轮胎的噪音了，根本不存在发动机的噪音，刚开...,,,,,,,,,,
从大学到现在一直看汽车之家很多年头了！从来也没写过一篇关于自己爱车的帖子，但是一直对汽车很少爱！从事设计行业92年的我也已经快30岁了，从大学毕业后通过一年的努力贷款买上了人生中第一辆车菲亚特菲翔，坚持还完三年贷款后买了话说我们总绕不过的一辆车BMW3系标准轴距，可能是被这句话忽悠了，还是绕得过哈，哈哈??三系的操控，油门的响应，悬挂的支撑性真是好的没话说，当然因为平日用车需求不会在乎后排空间，因此买菲翔和320i都是只在乎驾驶室的体验。直到今年一月份确实是为了节约每个月燃油费用的开销，考虑整一个省油或者根本不耗油的车，当然菲翔和三系油耗其实还好，都相对比较节省，但是对于自身每天最少都要跑50公里的我来说确实想更省，每天主要就是在内环快速和市区道路，偶尔的郊区或区县。（金...,,,,,,,,,,
提速顺滑感很棒，超级充电很快很方便，这辆车回头率特别高，系统使用起来特别棒，没有想象的无实体键带来的不便，这个屏幕操作起来即使有时你按的不准，他也会靠自己判断你按的是哪里，这点在开关空调，打开音乐什么的深有体会！这款车可玩性很高，每次更新系统都有小惊喜，我感觉有的功能他虽然没写，但是通过上次更新系统我发现前车打转向灯准备变道，打灯的下一秒他就会开始减速，为安全加分，便利进出很好用，跟油车上的座椅记忆很相似，但是少了一些繁琐的操作，直接挂p挡或者开车门，就会给你留出你设置好的最方便上下车的座椅位置，用起来确实不错。空调出风角度调节很炫酷，但是说实话实际意义不大，设置好了基本不会再动??动力强劲！动力强劲！动力强劲！说三遍，真的是同级别油车没有的体验！我开车比较缓，对我来说完...,,,,,,,,,,
科技感、科技感、科技感，未选装56000完全自动驾驶包给人带来的感受远远超出了其他BBA和国产电车品牌。领路人和追随者的区别使用后才能感受到。在订车之前试驾过比亚迪，蔚来，理想。自用车是一天奔驰ec，但是试驾过特斯拉之后完完全全被种草了。提车后使用近400公里，目前续航还是比较满意，非激烈驾驶350以上稳稳，基本上班日常用一周充电一到2次就可以。目前北京超充也很多，总之特斯拉带给你的改变很惊喜。PS：幸运的松下电池加3.0硬件。,车辆舒适度一般，同价位可选择汽油车太多。内饰简单到目前还无法习惯，一直想加装速度仪表或者HUD。但是和酷比起来都被无限缩小了。,空间空间：前一辆是奔驰ec，加上是2个人用，后排要求不高，但是客观说，后排真的小。同...,,,,,,,,
车辆提速快，功能强大，手机连接控制，科技感强，和传统汽油车有很大区别。外型美观时尚，比传统汽车强。,续航里程短，标的445km可充满电最多380km，每天停放不动大概掉30多公里的电，实际充满也就能跑200多，不知道国产品牌的电动车停放时掉电厉害吗？,空间空间：虽然2米8多的轴距但空间真不如卡罗拉，空间很...,,,,,,,,
1、该静时静，该动时动。MODEL3是全电动车，没有怠速振动，没有加速噪音。油车花费大量精力去研究如何使怠速更平稳、加速更线性、声音更好听，于是V6、V8甚至V12被追棒，8速10速12速被加持。然而MODEL3只用一招就破了，这便是“无声胜有声”。加速快而且线性，这是我们的刚需。波箱的顿挫就会让人大倒胃口。线性就是汽车界的难题，解决之道唯手动，只有靠驾驶员自己的技术来解决顿挫。有没有觉得像手工打造一样，一切回归原点，机器是人类创造的，人类一定能赢，钢铁侠给了我们启发。2、科技以人为本。如果说电车油车相比，线性尚且不能拉开差距，那么科技就是这两者的分野，一边油车在拼命地跟热效率较劲，据说41%的热效率就是乔丹舒马赫水平了，另一边电车则是面朝大海春暖花开，趟出一条别具特色的...,,,,,,,,,,
有的人买车看东西、配置、品牌。我买车最重要的是看外观，我喜欢漂亮的车，model3是我中意的车型，轿跑式外观，前脸有点像保时捷。开始觉得巨丑的轮毂盖，在蓝色车漆下也很搭。另外还有动力、科技、品牌也是很满意的。以前我开车特别温柔，很稳，能不超车就不超车，在试驾了model3感受了剧烈的加速之后我就说，我拿到车第一件事就是把驾驶模式调成温柔的模式，没想到啪啪打脸，我现在已经爱上深踩电门的狂烈推背感。等红灯路口一脚电门能看到别的车已经离你很远了。科技感是另一吸引人的地方，最开始没太了解这个车的时候，我很诧异，什么车连仪表盘都没有？以前喜欢满是按键的机舱式内饰现在也已经慢慢接受这样的简约式电子产品般的体验。5年前路上看到一辆特斯拉就觉得很酷，那时候我对特斯拉印象还是百万级...,,,,,,,,,,
哪里都很满意！1.车子十分智能！汽车届的iphone名不虚传，我提车前就下载了Tesla App，提完车后登陆账号就可以用手机控制车了！没错是控制！可以通过手机锁车，预开空调，开前后行李盖 2.加速蛮快！ 提车回家的时候有一个红绿灯给了一脚地板电，到100码的时候已经跑老远了，看后视镜后面的车还在十字路口哈哈哈哈哈 3. 服务很好！当时由朋友介绍的销售，预约了看车时间第二天就去久光试驾了！Sue姐全程介绍了一遍特斯拉，感觉非常好！在交付中心提车也是，全程轻松愉快，一个小时交付完毕！,最不满意的当然还是续航不足。电车电池一般是不充满电的，所以本来就捉襟见肘的续航实际只在320km左右！所以对家里不能装充电桩的用户十分不友好，要慎重考虑！,"空间
...",,,,,,,,
1，加速性能还可以，2操控尚佳；3，最中意的电池，几乎是业界最好电池了，4，还有其最为著名的自动驾驶系统。5，网络订单分配的销售玥玥人长得漂亮，服务也很好！6，购车后7日内免费退车承诺；7，后排座椅放倒，增加了后备箱空间，在必要的时候。8，送货上门，直到小区门口。,1，板金：车门，车前盖，轻轻一按就踏下去了，前盖对...,,,,,,,,,
日常使用，工作日上下班；周末往返两广之间420KM（单程），中途补电一次足以。,目前还好，就是错过羊毛（没撸到3年免费超充）；下次有羊毛，希望能顺上···,空间总体不错，日常生活，不管是市区还是乡间小道，一家人够用；代步工具,动力动力方面，不追求极限，也过了极限这个阶段；够用，不至于说开空调影响提速（开燃油车会有影响）,操控操控方面，还是不错的；除了避震比较硬，后排的感觉有点糟糕；只要把胎压调整到2.6基本能解决，原厂建议胎压2.9-3.0，那是为了提高一丢丢续航，个人觉得可以忽略那一丢丢续航。,电耗总体还是不错的，充电方便，不要纠结电耗；,舒适性隔音一版本，座椅一般，避震硬，悬架路感清晰；,外...,,,
提速快，有超充，销售服务态度好，服务态度超级好！续航还不错，毕竟送大牌，市内开的人可以选择！,开了1800公里，并没有任何不满意的地方，如果真的要较真，大概也就是尾灯不平齐，其他没有不好的。,空间空间：空间可以，上次和老婆搬了一个钢琴架，拆了的，都能放进去，还塞了一堆东西，而且还有前备箱，所以空间绝对可以的。,动力动力：动力随叫随到，只要想超车，一脚电门的事情，想要就给你的感觉，所以动力绝对超过了日常使用。,操控操控：特斯拉比的就是操控，操控感觉非常的棒，让人心定，包括自动驾驶Ap，开了Ap非常的轻松！,电耗电耗：电耗还行，不要一直地板电，可以跟实际的用电量匹配，没有差别！,舒适性舒...,,,,
炫酷时尚的外形，劲爆的猛然提速，精准的变道操纵。,永远绕不开的问题：续航里程和细节做工。续航里程折上折，这折扣，杠杠滴。做工细节就不说了，已经有那么多吐槽的了。,空间空间：肉眼看到的比你想象到的大，真实体验的比你肉眼看到的大，谁坐谁知道哦。,动力动力：一句话来形容：哎，慢点慢点，我头晕头晕。红绿灯起步，只要你愿意，路上90%的车只能在很远很远的地方看你优美的尾灯。这种优雅的躁动对比轰鸣排气声的性能油车，是另一种享受。这里要提醒一下，在路面有沙子的情况下要稳稳起步，不要追求猛然起步，很大概率会后轮打滑，车身甩尾的，很容易发生事故,操控操控：精准如98K，指哪打哪；超车只要给条缝，再加你有胆，你就能分分钟超过去（反正我不敢...,,,,,,
1.加速满意.2.养车成本低，最近超冲免费有种开车不花钱的感觉。,1.隔音实在是差的无法形容，50码以上就wongwong的，80～120那感觉我的妈呀 跟坐飞机一样吵。开音响就像是拿手机公放一样...胎噪风燥问题非常大.真心建议想买车的人去试驾下80码以上，什么续航做工都是小问题。.2.减震差.3.后视镜太小.4.做工粗糙.5.自动雨刷是真的智障，不能调节自动感应灵敏度。,空间空间：空间4颗星吧，比油车多一个前备箱储物，后排很少坐人不太在意,动力动力：动力五颗星！随时都可以超车，地板电有点眩晕感觉，很爽,操控操控：操控五颗星，ap高速用起来还是有点担心，堵车时候跟车距离要是可以缩小就更好了.,电耗电耗：平时...,,,,,
区别与油车的划时代科技产品，行走的电脑，影院，公寓？自行脑补。 之前开第一代国产骗补电动车，大家可以看我的老贴。没有对比就没有伤害，tesla是用心在做产品，哪怕一直亏。国产的就是给电池安四个轮子，拿到钱就好，当然代步也还凑合，就是坐的太不舒服了，而且开太快，刹车踩不住，这也是换车的理由之一，不够安全。 颜值，操控，加速，舒适度，科技感，智能化带来的便利度，娱乐度，该有的配置基本都在了，完全不虚同档位bba。目前流量无限量，且完全免费，赞,其实也谈不上不满意，各种功能使用方面需要一点时间学习和适应，和汽油车区别挺大。 给车友们提个醒，如果家里或者公司没有充电位，或者附近没充电桩，会不太方便，很遗憾，我没有这个顾虑。 给特斯拉提个建议，超充多...,,,,,,,,,
最满意的是外形 动力 和特斯拉的人机交互方式。车机就像手机，系统更新一下，新功能就来了。不仅如此，性能续航都能加强。,做工感觉不够精致，无框车门风噪有点大。我的雨刮器刮的时候有异响，不知道是不是个例。,空间空间：空间对我来说是足够的了。本身我也不怎么喜欢那种很大的车子。☆ 空间设计亮点：前备箱 后背箱，容积都很大。而且后备箱里面有两层，因为这个车没有备胎，所以一般的车放备胎的地方拉起来，还是一个比较大的空间，可以放很多东西。乘坐空间：后排中间没有突起比一般的汽油车方便很多。车内储物能力：车子扶手箱那里，因为是电动车，所以没有变速箱的档把，空间非常大。,动力动力非常满意，标准模式踩多少有多少，电动机响应及时没有丝毫延迟。官...,,,,,,,
动力绝对可以，官方175KW，惊喜的是实际功率202KW。绝对惊喜！ 自动驾驶还是很爽的。稍微也有那么一点回头率，总是比同级BBA能好点。要吐槽的地方挺多的，不过优点太突出忍了。总体还是喜欢的！,电耗还是有点高，电池使用百分之20到90之间，也就200公里吧，续航呀……还有这个做工一般吧。这个风燥确实有点吵，哎无框车门也能理解吧。空间不大，但也能满足正常家用。座垫有点短，转向即使调到舒适模式也是比较重的。 无奈的选了颜色和大轮毂，因为这样年前才能提车，充电桩不免费直接差评！交付中心送的3m前车顶天窗膜，就光送这么一小片膜也就罢了，还是假的，已经撕掉从贴了。,空间空间：本人身高175体重170，前面座椅刚好，横向纵向空间都可以，后面横向空间...,,,,,,,,
操控是同级别最好的车型，同级别有一辆短轴320i f30。c级和没改新款的a4都开过，f30的驾驶质感可以和奔驰的顶配车型媲美一下。但是当你开过特斯拉，再去摸f30，你会感觉有一种奇怪的陌生感。油门刹车慵懒，方向盘很轻，紧实的感觉没有了。特斯拉除了地盘质感做的不太好意外，带给你跑车的感受，沉沉的方向盘，精准的操控，0迟滞的响应，紧致的刹车，高极限的过弯，整个车就是一个字，紧，干练，不慵懒。特斯拉用30w的价格给了你120w的操控。,这个车最不满意的就是装配工艺，10w的装配工艺都比他强，吐槽的很多，什么异响，外车缝隙不均匀就不说了。开了一年，座椅一遇到减震带或者坑，整个车跟要散架一样...,空间空间：同级别空间不大，后排坐垫低并不是很舒适...,,,,,,,,
最满意莫过于外观，操控，ap，科技感。好像除此之外没别的，还有用车成本低。跑高速的时候快没电了，跑到旁边的充电网一块多1°电，一块八1°电。。但是不知道其他地方的充电网怎么样，我在这一个上面四个充电桩，一个有锁两个坏的，还有一个就靠在厕所门口。人来人往，充电时候是不是被人围观？但是确实比加油方便一点。充了十多分钟。充了有十几块钱，然后继续...,,,,,,,,,,
外观好看，有超跑的感觉，经济实惠，适合上下班。市区代步，性价比高，家里有油车的话，这款非常适合做第二部车子,续航太短，表显满了才380。平时只能充到80%到90。只能市区代代步。其他地方的话，就需要提前规划路线，开空调的话还要考虑电量。,空间空间：前排非常舒适。后排没有凸起。做三个人刚好,动力动力：提速太快了，比方说红绿灯的话，可以甩其他车好多,操控操控：操控满分，特别给力，驾驶感特别好，开了就回不去油车了方向盘操控感：特别轻巧，有些人说他比较笨重。但我开车还很好,电耗电耗：如果开七八十码的话。耗电量还好，能耗很驾驶习惯有关续航里程：充满380平时大概开340，高速300，,舒适性...,,,,
满满的科技感，亮骚的外表！在遇到小特之前，一直停留在电动车的各种不成熟、不保值、掉价快、不适合让长途……等等。见到小特的第一眼，就被她靓丽的外表征服，试驾之后，所有的缺点都已经不重要～真是有毒！5月29日提车，真有种买个Ipad 送汽车的感觉，加速是最直接的驾驶体验。今天从乡下回城，路上一辆A4勉强超车后，压着我的车子并线，对这种流...,,,,,,,,,,
颜值不错，没有烂大街，这个很重要，偶尔有点回头率。系统很智能，手机钥匙直接开门，大屏预装了音乐视频app，甚至还有斗地主，流量目前免费用，关门时候可以自动关窗。加速不错，ap用了几次，比较稳。操控感很好，没开过三系，但比我之前开过的车操控好上一截。,舒适度和家里的奔驰没法比，不过本来就是偏运动,空间空间：前排空间没问题，头部脚部空间很充足，后备箱空间很大，后排稍微小一些，不过平时不坐人无所谓。,动力动力：红绿灯起步一马当先，深踩一下推背晕眩感很强,操控操控：操控很好，方向盘虚位小，过弯不用减速也很稳，路口掉头半径小,电耗电耗：差不多1%的电能跑4公里，整体上在400公里左右。停车不怎么掉电，除非手机经常去远程...,,,,,
加速驾驶体验真的超棒，自己现在最满意的就是整体驾驶体验，开完之后真不想再开家里的宝马了，有些人不喜欢中间的大屏，但我个人还是挺喜欢这种简约风格的，没有那么多繁琐的按钮，自己开着也很舒服，还嫩打游戏，好评！,其他都挺好的，加速是爽但是掉电真的超快，一脚加速掉一公里，有时候上车屏幕有点卡，风噪有点大,空间四个人坐车加上空间基本没问题，再放点东西，还有前备箱,动力加速不用提，同价位最快，没有之一，没人反驳吧,操控操控也很不错，自己开过3系，感觉不相上下，就是方向盘小了一点,电耗特斯拉的电耗基本算是同级别电动车最好的了，基本日常够用,舒适性舒适性一般吧，没有很好，也没有很差，座椅稍微偏硬,外观外观...,,,
"省钱！省钱！省钱！
自己一直在上海没拍到牌照，听说国产特斯拉降价到三十万以下了，就去红烧中春路的特斯拉去看了一下车，这家店还是挺大的，里面各种颜色都有，听过销售介绍以后发现续航在能接受的范围内，家里也能安充电桩，中间内饰的大屏幕也很爽，能打游戏能看电影，老婆很喜欢。之后销售带我们去试驾了一下，加入很爽，就是悬架有点硬，后排有点颠。不过影像不大，回去以后果断定了白色的，现在已经提车快一个月了，感觉真的很好，超级省钱！",悬架有点硬，家人坐在后排有点颠，有时候屏幕会有点卡,空间空间：后排正常三个大人没问题，中间没有凸起，这个级别还可以,动力动力：动力没话说，百公里5.6s，同级别最快，没有之一,操控操控：2.8的轴距，操控还...,,,,,,
"本来是打算入手给老婆上下班用的，然后呢开着开着，比油车舒服太多了，性能又好，外形又帅气！索性就自己开了，把油车给老婆开了！提速快，路上想超越谁就谁，方向指哪打哪，操控性是真的好！2个月时间马上5000公里了，如果是油车，油费都要多少了，确实省钱，省心！很多人都不理解我为什么买特斯拉，我都是让他们试驾了以后在问我，然后试驾了以后都很喜欢！油车1年2万公里，保养至少2000?，油费至少15000?，这点开上新能源都是能看到省下来的钱！不要谈贬值快什么的，什么车不贬值？我有个朋友因为这个刹车失灵舆论，买了个蔚来es8，开了一个月，很后悔，标续410公里，真正开开只能开200多点，夏天都这样了，我在想冬天是不是只有100多了??！如果以后让我在选择新能源，我还是会选择这个品牌！
...",,,,,,,,,,
动力狠，刹车猛。各种高科技，比自己以前的油车相比 ，驾驶体验升级比较大。,全自动化工厂的整车质感还有待提升，跟之前开的Porsche和Benz确实有一定差距，包括接缝过大，内饰工艺等和国产同价位油车比还有进步空。,空间平时坐2-3人乘坐空间宽裕，没有所谓的压迫感。乘坐空间：176cm 驾驶位，头部空间超过两拳，后排乘客表示不觉得拥挤储物空间：储物空间够用,动力动力直接而又迅猛，踩的太猛身体会因G值过大而产生不适感，建议安全驾驶。,操控驾驶模式可调，一般我选择运动模式，铝合金脚踏板+扎实的方向盘窝感，加速和刹车都十分有信心。,电耗因驾驶模式较为激烈，故电耗时高时低，不过使用费用相对油车省下不少。,舒...,,,,
加速很快，没有任何油车那种换挡产生的顿挫感。外观漂亮，无框车门很nice。,后悔没早定，比别人多花了1000，有点小难受。,空间空间：乘坐空间：可能是玻璃顶没有帘的原因，顶头肯定是不可能的。后排很少使用，正常乘坐没有问题。,动力动力：这个不用多说了，之前开的2.0t的燃油车也没毛豆3强动力平顺性：电动车就不谈平顺性了，无敌的存在。哈哈,操控操控：没开过太多的车，操控什么的也不好评价，反正比我以前的车好开多了,电耗电耗：一天30公里代步，现在习惯一个星期充一次电,舒适性舒适性：悬架说实话还是有点偏硬的，非铺装路面有点明显。,外观外观：帅，当时买车一半就冲着颜值...,,,
OTA，就像买了一台手机一样，充好电走起。不完善就上报，更新安排上。每次更新都提高你的心理性价比。以前和车是主仆的关系，现在仿佛就是玩伴。有很多新奇的体验。升级，充电时看电影，特斯拉超充时和车友偶遇。超劲的加速，超亮的空间。,交付一件极差，几乎没有服务，还不如买手机给介绍的多。购车款一口价，内涵上牌服务，需要自己开车去验车上牌，验车现场有专员服务，全程几乎不下车。但是冷漠。保险隐形强制，只能按照原价没有优惠可言。不强制商业险，但是其他途径本该有的优惠，保险系统对品牌锁死了，无法提供。店内赠品配件全无，需要耐心网上寻觅。赠送了一个遮阳，一个月了还没有到，截至发稿前问了一句保险销售，“给您尽快安排”。,空间空间：可能以前开的车小，足够一家三口...,,,,,,,,
外型没得说、动力秒杀同价位汽油车、安全好开、性价比极高,后排地板略高，尾灯区域拼接装工艺有待提高,空间后排除了地板略高，前后空间其实还算可以。,动力电动车踩了就有而且很线性很好开，开过感觉油车实在是太肉了。。。,操控操作感觉除了CT5，同级最运动的一款车，很稳,电耗充满420，上海市内开会比车辆显示的EPA里程还要长一些，算上停放掉电和App连接之类的损耗，充满一次基本上可以跑出表显里程。补充：暂时天气不冷，没有冬季的经历，天气很冷的情况请参考其它车主的口碑。,舒适性由于偏操控，车子底盘是感觉有些硬，这也是为什么不选19寸轮毂的原因,外观30万以内最喜欢的外观，没有之一。。。。,内饰...,,
提速快操控好，倒车停车方便，车子四周的距离都可以在显示屏显示出来,做工差，门板缝隙大，关门有时候都关不上，需要大力气关门才可以，配置一般，服务一般，新车连个雨刮水都没有的。,空间目前而言乘坐足够，前后加起来有三个储物箱，储物空间可以，后备箱也足够，满意。☆ 空间设计亮点：后排空间可以，乘坐没问题，前面多了储物箱，后备箱有两个储物箱，很满意。,动力动力很好，随叫随到，提速快，车辆轻，开起来很轻松。经济/运动模式加速：运动模式，方向盘会比较重，但是安全性更好,操控操控好，指哪打哪，底盘稳，提速快，驾驶感很好，特别是自动跟车。,电耗不能开哨兵模式，太费电了，平时停车还可以，形式公里数跟官方宣传的相差太大，打...,,,,,
提速快，动力足，回头率高，颜值高，智能，不用带钥匙，方便。,异响，内饰做工差，后排空间比同级别小，没有座椅通风。,空间空间：前排没问题，后排有点略小，3系短轴都比它空间大，好在没有中间凸起，后排整体地面是平的。副驾驶我老婆基本上可以把腿伸直后备厢容积：后备箱的容积比一般油车要深，还有就是因为没有备胎，所以还有一个底层。可以装很多东西，前备箱还能放得下一个小型拉杠箱。,动力动力：动力没得说，我一般都是用标准模式，听销售说换算成油车动力是3.0T（也不知道是不是真的），反正很强劲，地板油试过几次，推背感很强,操控操控：指向性很准，基本上指哪打哪，很精准，油车打2圈的方向，这车1圈就够了，主动刹车双刃剑，关键...,,,,,,
AP，上下班20公里高架，不惧堵车。操控感巨好。使用不肉疼~,AP不是足够放心，右侧强插的车不容易识别。高速噪音有点大娱乐软件卡顿，qq音乐也优化的很差。,空间前排没话说，储物空间没话说。后排小了一些，不过也没人做后排啦。 人多出行还是会开其他车。☆ 空间设计亮点：极简的设计，全玻璃顶，反正是各种香~ 什么仪表盘，根本没啥用~ 一块大屏都搞定,动力动力不仅仅是说来就来的问题，跟你的意识严丝合缝。 从来没如此体验过驾驶的乐趣。,操控非常精准，半径也小。 就是有点太沉了。。。 方向盘轻松模式 比一般车的运动还要重。刹车…… 比较紧，但基本也不踩刹车。,电耗电耗非常低，反正比家里的比亚迪秦能好要低。 平均15....,,,,,
